Item,Section,Value,Unit,Category,_factor_key,Factor (kg CO2-eq / unit),Impact (kg CO2-eq)
Palm Oil,,1020.0,kg/t-PHA,Palm oil,palm oil,4.35,4437.0
Yeast,,13.7,kg/t-PHA,Chemicals,yeast,1.25,17.125
Glucose,,2.0,kg/t-PHA,Chemicals,glucose,1.76,3.52
Sodium Phosphate,,3.0,kg/t-PHA,Chemicals,sodium phosphate,2.13,6.39
Citric Acid,,31.5,kg/t-PHA,Chemicals,citric acid,4.7,148.05
Ammonia liquid,,14.8,kg/t-PHA,Chemicals,ammonia liquid,0.724,10.7152
Sodium Hydroxide,,125.4,kg/t-PHA,Chemicals,sodium hydroxide,0.683,85.64820000000002
Ammonia Sulphate,,12.4,kg/t-PHA,Chemicals,ammonia sulphate,2.62,32.488
Potassium Phosphate,,4.8,kg/t-PHA,Chemicals,potassium phosphate,1.65,7.919999999999999
Enzyme,,2.4,kg/t-PHA,Chemicals,enzyme,4.4,10.56
Hydrogen Peroxide,,62.0,kg/t-PHA,Chemicals,hydrogen peroxide,0.804,49.848000000000006
SDS,,63.0,kg/t-PHA,Chemicals,sds,1.87,117.81
Activate Carbon,,1.4,kg/t-PHA,Chemicals,activate carbon,2.3,3.2199999999999998
Sulfuric Acid,,0.4,kg/t-PHA,Chemicals,sulfuric acid,0.348,0.1392
Fermentation,Electricity consumption,706.2,kWh/t-PHA,Electricity consumption,electricity consumption,0.42,296.604
Extraction,Electricity consumption,508.1,kWh/t-PHA,Electricity consumption,electricity consumption,0.42,213.40200000000002
Pelleting,Electricity consumption,1162.5,kWh/t-PHA,Electricity consumption,electricity consumption,0.42,488.25
Fermentation,Steam,1.3,Ton/t-PHA,Steam,steam,0.3,0.39
Extraction,Steam,2.7,Ton/t-PHA,Steam,steam,0.3,0.81
Pelleting,Steam,0.04,Ton/t-PHA,Steam,steam,0.3,0.012
Fermentation,Water,5.5,Ton/t-PHA,Water,water,0.0014,0.0077
Pelleting,Water,42.5,Ton/t-PHA,Water,water,0.0014,0.0595
nan,Water,0.0,Ton/t-PHA,Water,water,0.0014,0.0
Flow rate,Water,35.6,m^3/t-PHA,Water,water,0.0014,0.04984
COD,Water,15000.0,mg/L,Water,water,0.0014,21.0
TN,Water,750.0,mg/L,Water,water,0.0014,1.05
TP,Water,35.0,mg/L,Water,water,0.0014,0.049
SS,Water,6000.0,mg/L,Water,water,0.0014,8.4
Ammonia,Water,0.123,kg-gas/t-PHA,Water,water,0.0014,0.00017219999999999998
Sulfuric Acid mist,Water,0.014,kg-gas/t-PHA,Water,water,0.0014,1.96e-05
Particle Matter,Water,0.029,kg-gas/t-PHA,Water,water,0.0014,4.0600000000000004e-05
VOCS,Water,0.081,kg-gas/t-PHA,Water,water,0.0014,0.0001134
SO2,Water,3e-07,kg-gas/t-PHA,Water,water,0.0014,4.2e-10
NOx,Water,0.056,kg-gas/t-PHA,Water,water,0.0014,7.84e-05
H2S,Water,0.00111,kg-gas/t-PHA,Water,water,0.0014,1.554e-06
CO2,Water,455.0,kg-gas/t-PHA,Water,water,0.0014,0.637
land,Transportation,1000.0,km,Transportation,transportation - land,0.08993,89.92999999999999
sea,Transportation,4000.0,km,Transportation,transportation - sea,0.00799,31.96
