material,quantity,ci,impact_kgCO2e_per_tPHA
Water,48000.0,0.3,14400.0
Palm Oil,1020.0,4.35,4437.0
Steam,4040.0,0.3,1212.0
Electricity,2376.8,0.42,998.2560000000001
Citric Acid,31.5,4.7,148.05
SDS,63.0,1.87,117.81
Road transport,1000.0,0.08993,89.92999999999999
Sodium Hydroxide,125.4,0.683,85.64820000000002
Hydrogen Peroxide,62.0,0.804,49.848000000000006
Ammonia Sulphate,12.4,2.62,32.488
Marine transport,4000.0,0.0079,31.6
Yeast,13.7,1.25,17.125
Ammonia liquid,14.8,0.724,10.7152
Enzyme,2.4,4.4,10.56
Potassium Phosphate,4.8,1.65,7.919999999999999
Sodium Phosphate,3.0,2.13,6.39
Glucose,2.0,1.76,3.52
Activated Carbon,1.4,2.3,3.2199999999999998
Sulfuric Acid,0.4,0.348,0.1392
